# Delaunay Triangulation Result
# VERTICES 6000
v 0.699157 0.574886
v 0.354227 0.385534
v 0.322098 0.408329
v 0.566802 0.444136
v 0.500637 0.205655
v 0.816131 0.589911
v 0.865787 0.535486
v 0.101391 0.438778
v 0.203572 0.580121
v 0.251358 0.229049
v 0.258251 0.184685
v 0.177165 0.360259
v 0.673786 0.463685
v 0.273472 0.765992
v 0.337073 0.800336
v 0.295181 0.655864
v 0.774871 0.382313
v 0.139842 0.524960
v 0.460524 0.910024
v 0.012051 0.658599
v 0.825042 0.351185
v 0.324968 0.910433
v 0.727012 0.530640
v 0.530203 0.207766
v 0.531503 0.522936
v 0.375170 0.684866
v 0.532926 0.336865
v 0.605002 0.641683
v 0.455029 0.372391
v 0.302185 0.876063
v 0.209214 0.832528
v 0.521047 0.202858
v 0.891464 0.499230
v 0.465075 0.858242
v 0.322815 0.693603
v 0.275005 0.497083
v 0.203719 0.557423
v 0.252731 0.318569
v 0.364051 0.186836
v 0.548208 0.682284
v 0.019624 0.790484
v 0.103383 0.870757
v 0.050238 0.591854
v 0.449528 0.196627
v 0.073193 0.637997
v 0.250328 0.308231
v 0.654192 0.664182
v 0.555806 0.684717
v 0.435135 0.376941
v 0.432595 0.491935
v 0.339454 0.233246
v 0.832450 0.600938
v 0.193055 0.823709
v 0.188186 0.817441
v 0.727373 0.192159
v 0.188395 0.947701
v 0.212704 0.849265
v 0.122659 0.713264
v 0.033441 0.491061
v 0.886981 0.483868
v 0.854177 0.560946
v 0.196716 0.718647
v 0.491248 0.925811
v 0.148103 0.439263
v 0.019881 0.716704
v 0.752474 0.226349
v 0.371343 0.823535
v 0.874991 0.305379
v 0.103433 0.795535
v 0.936563 0.391270
v 0.150911 0.834511
v 0.160362 0.833683
v 0.100630 0.375381
v 0.232904 0.348946
v 0.393697 0.181909
v 0.192889 0.336707
v 0.482841 0.544688
v 0.458880 0.509403
v 0.309225 0.446692
v 0.600158 0.653395
v 0.412021 0.326135
v 0.435423 0.552223
v 0.482491 0.204709
v 0.409525 0.206626
v 0.861794 0.543149
v 0.087058 0.429346
v 0.567931 0.204479
v 0.230060 0.257958
v 0.260091 0.184787
v 0.355361 0.183555
v 0.354258 0.551319
v 0.282315 0.722016
v 0.217260 0.672745
v 0.301977 0.656013
v 0.630692 0.229125
v 0.167690 0.565817
v 0.110485 0.540297
v 0.988102 0.363142
v 0.829513 0.351430
v 0.068139 0.693955
v 0.732279 0.529628
v 0.514767 0.207025
v 0.484214 0.479733
v 0.365977 0.675194
v 0.615925 0.442449
v 0.617838 0.634188
v 0.411138 0.439350
v 0.273895 0.865129
v 0.211404 0.832584
v 0.529645 0.202981
v 0.875293 0.496439
v 0.464203 0.864668
v 0.700310 0.326396
v 0.500937 0.281812
v 0.818952 0.462503
v 0.333455 0.256434
v 0.368565 0.184894
v 0.701328 0.552684
v 0.048552 0.819855
v 0.103426 0.870992
v 0.035225 0.541554
v 0.441298 0.205445
v 0.081772 0.646928
v 0.308698 0.270416
v 0.654824 0.664248
v 0.548668 0.676921
v 0.432111 0.386286
v 0.475880 0.486102
v 0.341422 0.234754
v 0.839558 0.604338
v 0.196078 0.826004
v 0.807122 0.190758
v 0.729618 0.190727
v 0.185574 0.967322
v 0.211827 0.849250
v 0.296046 0.886502
v 0.012970 0.626510
v 0.895033 0.476777
v 0.844200 0.557325
v 0.817639 0.302388
v 0.092075 0.516520
v 0.856876 0.573271
v 0.030129 0.708996
v 0.192822 0.756227
v 0.826642 0.373981
v 0.919037 0.285569
v 0.906164 0.226154
v 0.922256 0.384926
v 0.151206 0.831413
v 0.162864 0.841679
v 0.104199 0.374292
v 0.237498 0.337428
v 0.395328 0.181270
v 0.146435 0.338593
v 0.499913 0.575474
v 0.463112 0.527071
v 0.564215 0.700080
v 0.401239 0.364655
v 0.418392 0.325552
v 0.547159 0.444530
v 0.502287 0.207869
v 0.408967 0.204729
v 0.503942 0.941700
v 0.091480 0.430747
v 0.790999 0.440634
v 0.228630 0.258015
v 0.259288 0.186719
v 0.507586 0.257917
v 0.552176 0.359206
v 0.281255 0.722573
v 0.335473 0.792305
v 0.303926 0.656595
v 0.611405 0.236978
v 0.441224 0.839808
v 0.115373 0.540420
v 0.984809 0.361199
v 0.677410 0.185538
v 0.907182 0.356287
v 0.481627 0.289086
v 0.193527 0.521555
v 0.437784 0.568588
v 0.341317 0.639848
v 0.624382 0.444212
v 0.623333 0.630937
v 0.411720 0.453485
v 0.271657 0.864035
v 0.210521 0.824174
v 0.482982 0.860860
v 0.895021 0.499261
v 0.873631 0.467657
v 0.293753 0.695019
v 0.747684 0.547229
v 0.547441 0.188882
v 0.749456 0.675653
v 0.373882 0.185906
v 0.547282 0.698291
v 0.187726 0.958279
v 0.121413 0.950027
v 0.456489 0.965354
v 0.442622 0.204090
v 0.350302 0.925765
v 0.280647 0.313580
v 0.365891 0.349294
v 0.455691 0.342990
v 0.429892 0.396530
v 0.532619 0.519485
v 0.251873 0.348046
v 0.412659 0.180175
v 0.196808 0.836020
v 0.191915 0.844817
v 0.190204 0.734373
v 0.185837 0.967838
v 0.212894 0.849265
v 0.158473 0.702917
v 0.016803 0.614659
v 0.899405 0.476951
v 0.140081 0.455571
v 0.821301 0.305783
v 0.491346 0.917887
v 0.847119 0.594952
v 0.027884 0.709046
v 0.261863 0.815136
v 0.828703 0.375360
v 0.145429 0.742097
v 0.193668 0.912708
v 0.923464 0.387359
v 0.151151 0.840416
v 0.154254 0.842313
v 0.113876 0.374379
v 0.338110 0.240878
v 0.220296 0.379313
v 0.148569 0.338204
v 0.527480 0.576169
v 0.489267 0.544765
v 0.692571 0.582534
v 0.600765 0.638493
v 0.597503 0.686098
v 0.583636 0.458066
v 0.505115 0.211733
v 0.212857 0.408135
v 0.051109 0.504138
v 0.127019 0.509225
v 0.583299 0.205967
v 0.229231 0.258132
v 0.260790 0.184935
v 0.755896 0.497921
v 0.692399 0.502758
v 0.728649 0.294827
v 0.222283 0.695054
v 0.277563 0.649658
v 0.234677 0.618800
v 0.412371 0.847543
v 0.888576 0.476389
v 0.013344 0.651227
v 0.678552 0.187762
v 0.934116 0.361215
v 0.283481 0.491981
v 0.521151 0.196213
v 0.566422 0.451590
v 0.375844 0.682228
v 0.379934 0.595601
v 0.636849 0.625641
v 0.447382 0.419270
v 0.836479 0.243408
v 0.209723 0.824113
v 0.492610 0.854848
v 0.894770 0.499414
v 0.257724 0.642224
v 0.290791 0.697406
v 0.464129 0.273458
v 0.779716 0.478239
v 0.749972 0.675066
v 0.360077 0.183135
v 0.442616 0.373760
v 0.175037 0.952507
v 0.105787 0.927048
v 0.135316 0.379568
v 0.441666 0.205149
v 0.927144 0.355382
v 0.280740 0.306212
v 0.365793 0.364788
v 0.339472 0.466251
v 0.432363 0.394117
v 0.533882 0.510912
v 0.749426 0.662034
v 0.022194 0.783113
v 0.196980 0.837384
v 0.163539 0.816721
v 0.729728 0.198344
v 0.037341 0.803327
v 0.212140 0.857696
v 0.693159 0.186729
v 0.017845 0.614373
v 0.900363 0.477013
v 0.160153 0.461308
v 0.300345 0.831101
v 0.533361 0.926214
v 0.847781 0.595268
v 0.982760 0.311094
v 0.802203 0.273831
v 0.633734 0.182875
v 0.943898 0.255525
v 0.109056 0.811808
v 0.074818 0.686241
v 0.173062 0.855855
v 0.153419 0.840360
v 0.996565 0.319182
v 0.341372 0.241931
v 0.246519 0.379681
v 0.157068 0.334212
v 0.563945 0.526663
v 0.448319 0.544678
v 0.591259 0.692795
v 0.612779 0.673435
v 0.315653 0.438645
v 0.422575 0.552024
v 0.509652 0.208941
v 0.791368 0.597355
v 0.054703 0.495503
v 0.134329 0.504879
v 0.581521 0.206611
v 0.238485 0.228889
v 0.249948 0.183646
v 0.728440 0.505564
v 0.694791 0.516060
v 0.284842 0.717221
v 0.690853 0.232014
v 0.302786 0.566415
v 0.232205 0.618406
v 0.412830 0.826424
v 0.891164 0.476389
v 0.031754 0.628472
v 0.681740 0.186013
v 0.369061 0.940677
v 0.718603 0.522210
v 0.534870 0.208109
v 0.590241 0.443031
v 0.409561 0.662939
v 0.386289 0.595846
v 0.379990 0.385452
v 0.415700 0.454284
v 0.157007 0.771574
v 0.208123 0.823894
v 0.159043 0.525461
v 0.895474 0.499440
v 0.274337 0.634275
v 0.675797 0.292997
v 0.502410 0.183938
v 0.559731 0.230663
v 0.339551 0.260151
v 0.172585 0.337489
v 0.566882 0.638702
v 0.188511 0.962997
v 0.145128 0.970257
v 0.128184 0.407603
v 0.457347 0.206431
v 0.094779 0.639239
v 0.298880 0.299945
v 0.670542 0.653109
v 0.454060 0.340950
v 0.431658 0.393468
v 0.514786 0.537904
v 0.269873 0.352274
v 0.027412 0.783031
v 0.198372 0.836643
v 0.161233 0.811348
v 0.196588 0.734352
v 0.035728 0.796006
v 0.859562 0.218589
v 0.697587 0.184556
v 0.014405 0.621812
v 0.098054 0.525814
v 0.165709 0.456364
v 0.299064 0.829010
v 0.069077 0.474001
v 0.168101 0.431657
v 0.014062 0.709517
v 0.266855 0.812881
v 0.635175 0.182732
v 0.948283 0.255443
v 0.197507 0.916358
v 0.057444 0.678772
v 0.138076 0.818224
v 0.174399 0.845482
v 0.997228 0.319243
v 0.766653 0.666733
v 0.377880 0.249788
v 0.166512 0.332872
v 0.582244 0.533002
v 0.474015 0.559876
v 0.702793 0.595084
v 0.629411 0.693562
v 0.328525 0.438287
v 0.463468 0.589231
v 0.510401 0.207485
v 0.417767 0.219187
v 0.061761 0.488944
v 0.867056 0.503908
v 0.581037 0.205762
v 0.234634 0.240193
v 0.268309 0.184623
v 0.740270 0.502507
v 0.287902 0.489318
v 0.258741 0.725410
v 0.773577 0.317301
v 0.315640 0.544249
v 0.248445 0.642332
v 0.152150 0.586317
v 0.890066 0.461262
v 0.947105 0.376547
v 0.683445 0.185349
v 0.081539 0.662638
v 0.727023 0.442044
v 0.543891 0.205415
v 0.437692 0.588858
v 0.418546 0.667489
v 0.392696 0.581154
v 0.614447 0.649178
v 0.405526 0.447320
v 0.850339 0.228046
v 0.210508 0.824189
v 0.165618 0.517879
v 0.868859 0.489573
v 0.642577 0.281234
v 0.296470 0.679855
v 0.474628 0.188391
v 0.236020 0.550102
v 0.735187 0.675224
v 0.337706 0.180165
v 0.468103 0.373336
v 0.193846 0.964633
v 0.150666 0.969142
v 0.113772 0.393228
v 0.457826 0.203942
v 0.913204 0.371291
v 0.308342 0.301617
v 0.660411 0.696108
v 0.675994 0.566834
v 0.392832 0.438195
v 0.492910 0.499384
v 0.276030 0.347259
v 0.024407 0.783067
v 0.203143 0.836858
v 0.169340 0.820448
v 0.202843 0.734265
v 0.047313 0.817369
v 0.158479 0.807288
v 0.694845 0.186069
v 0.014779 0.622031
v 0.468772 0.902207
v 0.472771 0.206790
v 0.708987 0.183994
v 0.548276 0.938203
v 0.843378 0.584563
v 0.015362 0.709451
v 0.272387 0.815637
v 0.636635 0.193682
v 0.946517 0.255152
v 0.201457 0.916843
v 0.096926 0.675439
v 0.199659 0.866120
v 0.162091 0.832911
v 0.998227 0.319228
v 0.310342 0.220367
v 0.376004 0.246563
v 0.167102 0.340863
v 0.528707 0.589001
v 0.452018 0.569304
v 0.688621 0.589047
v 0.634439 0.705213
v 0.569427 0.682898
v 0.448314 0.552300
v 0.510860 0.205047
v 0.425672 0.204075
v 0.059272 0.488341
v 0.875899 0.489210
v 0.791232 0.424489
v 0.236658 0.253091
v 0.268983 0.184828
v 0.750732 0.514183
v 0.287927 0.481603
v 0.290662 0.751233
v 0.707442 0.224028
v 0.257772 0.566502
v 0.235162 0.636427
v 0.153702 0.586005
v 0.898032 0.484502
v 0.947486 0.371736
v 0.683745 0.184373
v 0.100594 0.694406
v 0.591112 0.281873
v 0.229550 0.565383
v 0.431345 0.574523
v 0.319602 0.573879
v 0.418485 0.617962
v 0.392801 0.377595
v 0.563932 0.583179
v 0.173639 0.771799
v 0.215365 0.835790
v 0.167733 0.528820
v 0.876445 0.490570
v 0.734733 0.367928
v 0.699083 0.301678
v 0.827672 0.532363
v 0.786228 0.462299
v 0.739000 0.670557
v 0.387711 0.253920
v 0.567122 0.649693
v 0.167506 0.965088
v 0.114098 0.956934
v 0.164207 0.389931
v 0.459898 0.215715
v 0.091314 0.637854
v 0.297923 0.285339
v 0.661239 0.695106
v 0.531638 0.691266
v 0.572880 0.619470
v 0.516521 0.522122
v 0.346984 0.278806
v 0.032840 0.754045
v 0.200801 0.835753
v 0.206375 0.832456
v 0.272313 0.808695
v 0.941703 0.247350
v 0.202192 0.848856
v 0.695115 0.186069
v 0.037770 0.602262
v 0.894727 0.491858
v 0.471396 0.204857
v 0.181630 0.710831
v 0.549796 0.927508
v 0.027216 0.754014
v 0.989101 0.311161
v 0.759029 0.209044
v 0.363432 0.837625
v 0.053844 0.753083
v 0.200390 0.899549
v 0.094326 0.686471
v 0.135734 0.848278
v 0.181427 0.846959
v 0.996271 0.319157
v 0.212115 0.319172
v 0.769547 0.640359
v 0.349756 0.195845
v 0.480903 0.428364
v 0.444223 0.552147
v 0.294673 0.427388
v 0.632489 0.703571
v 0.673307 0.582718
v 0.560038 0.451727
v 0.462799 0.226559
v 0.206375 0.431309
v 0.528363 0.941878
v 0.475794 0.878942
v 0.553022 0.206299
v 0.247783 0.263750
v 0.276520 0.184413
v 0.534275 0.252969
v 0.302989 0.514628
v 0.267671 0.725427
v 0.296384 0.789232
v 0.745618 0.456450
v 0.764126 0.408534
v 0.189768 0.627982
v 0.896702 0.484446
v 0.050348 0.649658
v 0.686327 0.186028
v 0.106793 0.718044
v 0.251364 0.603131
v 0.572186 0.232698
v 0.431320 0.574048
v 0.674129 0.411126
v 0.579264 0.377232
v 0.378420 0.396735
v 0.433908 0.441124
v 0.224792 0.835073
v 0.217310 0.835355
v 0.184941 0.541366
v 0.472225 0.909927
v 0.738467 0.379323
v 0.304663 0.708755
v 0.829549 0.533150
v 0.789816 0.460157
v 0.245053 0.334743
v 0.385674 0.259358
v 0.573334 0.643487
v 0.165955 0.967511
v 0.157044 0.955379
v 0.384210 0.186121
v 0.462817 0.218921
v 0.883627 0.362774
v 0.295549 0.285559
v 0.692313 0.673236
v 0.474936 0.328287
v 0.390900 0.433216
v 0.518851 0.534934
v 0.728109 0.661074
v 0.031816 0.754009
v 0.205633 0.849245
v 0.204137 0.832277
v 0.270719 0.808756
v 0.947651 0.247892
v 0.838435 0.199321
v 0.697078 0.185865
v 0.035630 0.603254
v 0.901448 0.492165
v 0.791134 0.533472
v 0.222301 0.702902
v 0.549024 0.941092
v 0.023905 0.761293
v 0.995768 0.311646
v 0.211257 0.766166
v 0.645802 0.189571
v 0.052384 0.753104
v 0.212698 0.924819
v 0.320871 0.910469
v 0.136617 0.850625
v 0.166206 0.835687
v 0.016747 0.709681
v 0.217316 0.320512
v 0.779010 0.642618
v 0.356140 0.188289
v 0.577951 0.526663
v 0.429002 0.552152
v 0.315634 0.431068
v 0.636353 0.703009
v 0.433932 0.339421
v 0.444186 0.603428
v 0.783076 0.543430
v 0.792005 0.573746
v 0.071775 0.488760
v 0.477885 0.855773
v 0.553630 0.206775
v 0.221210 0.246905
v 0.274925 0.184817
v 0.546160 0.266342
v 0.534202 0.691900
v 0.276434 0.734521
v 0.707252 0.240218
v 0.724418 0.471644
v 0.763212 0.419300
v 0.634402 0.193723
v 0.901767 0.484691
v 0.961922 0.390094
v 0.686775 0.185548
v 0.918994 0.301023
v 0.751346 0.393867
v 0.223099 0.580438
v 0.431540 0.585832
v 0.605021 0.332423
v 0.571065 0.435521
v 0.387980 0.403278
v 0.431639 0.463040
v 0.834890 0.231088
v 0.218456 0.835912
v 0.533569 0.206023
v 0.094068 0.538503
v 0.623284 0.273883
v 0.304773 0.707288
v 0.482104 0.195481
v 0.210299 0.549841
v 0.697721 0.692626
v 0.754313 0.622169
v 0.430940 0.361461
v 0.032638 0.796000
v 0.147581 0.935678
v 0.386368 0.186509
v 0.429990 0.207459
v 0.888649 0.364820
v 0.296801 0.284664
v 0.668874 0.701449
v 0.315726 0.499200
v 0.592173 0.597303
v 0.482908 0.473439
v 0.725864 0.662040
v 0.034361 0.754101
v 0.855865 0.206171
v 0.842765 0.205997
v 0.721590 0.205276
v 0.948418 0.248025
v 0.840005 0.210143
v 0.821565 0.317450
v 0.031528 0.612972
v 0.901484 0.492165
v 0.794514 0.540420
v 0.225466 0.702969
v 0.078007 0.459023
v 0.021568 0.775725
v 0.995026 0.311621
v 0.241429 0.802094
v 0.645784 0.200675
v 0.053936 0.745594
v 0.042253 0.789207
v 0.319504 0.903675
v 0.135028 0.855824
v 0.167420 0.838545
v 0.029939 0.701659
v 0.295948 0.224350
v 0.371748 0.239559
v 0.188597 0.357713
v 0.558824 0.523432
v 0.534281 0.473741
v 0.578227 0.693812
v 0.640032 0.704041
v 0.575093 0.682079
v 0.559995 0.414700
v 0.467276 0.205261
v 0.200004 0.407885
v 0.512155 0.981539
v 0.882210 0.490949
v 0.553219 0.206702
v 0.222425 0.246461
v 0.282279 0.185231
v 0.251358 0.551805
v 0.536562 0.690945
v 0.282279 0.734469
v 0.236051 0.718965
v 0.746390 0.478438
v 0.578362 0.258429
v 0.190866 0.640338
v 0.899958 0.484578
v 0.968355 0.390462
v 0.673191 0.184183
v 0.056524 0.438869
v 0.258631 0.626601
v 0.225613 0.595755
v 0.480681 0.577314
v 0.349063 0.655092
v 0.577516 0.435434
v 0.385522 0.403488
v 0.576982 0.556349
v 0.235854 0.849388
v 0.242208 0.620253
v 0.536495 0.207127
v 0.498007 0.918045
v 0.683010 0.254594
v 0.701340 0.353245
v 0.488525 0.203083
v 0.822042 0.485760
v 0.694907 0.683701
v 0.275496 0.377487
v 0.429646 0.354825
v 0.038433 0.805341
v 0.160196 0.919706
v 0.390495 0.186361
v 0.798794 0.576016
v 0.382553 0.901466
v 0.273582 0.292399
v 0.687229 0.669815
v 0.322055 0.499097
v 0.592363 0.598280
v 0.522825 0.546595
v 0.360733 0.278780
v 0.037457 0.768226
v 0.146428 0.803868
v 0.839717 0.204315
v 0.210324 0.743237
v 0.034091 0.760951
v 0.887215 0.254645
v 0.699323 0.186044
v 0.975488 0.384439
v 0.504133 0.202296
v 0.488770 0.204515
v 0.709288 0.247309
v 0.094466 0.509056
v 0.023292 0.773941
v 0.017042 0.701874
v 0.216254 0.725237
v 0.650838 0.200982
v 0.947093 0.281792
v 0.038034 0.760869
v 0.913683 0.334928
v 0.127718 0.863216
v 0.168083 0.837180
v 0.054415 0.710534
v 0.297009 0.208850
v 0.780531 0.597083
v 0.199053 0.360279
v 0.509843 0.607553
v 0.534275 0.459155
v 0.679759 0.582687
v 0.378990 0.309454
v 0.579528 0.679825
v 0.460978 0.627333
v 0.468963 0.204213
v 0.802768 0.610330
v 0.524180 0.983257
v 0.884602 0.491081
v 0.554108 0.196499
v 0.194716 0.228369
v 0.244250 0.179628
v 0.749960 0.455086
v 0.309146 0.476844
v 0.285333 0.759413
v 0.771326 0.293513
v 0.264206 0.521857
v 0.232046 0.581072
v 0.206228 0.634848
v 0.902019 0.484696
v 0.967644 0.390513
v 0.845243 0.360249
v 0.026345 0.612400
v 0.263182 0.626473
v 0.591928 0.229877
v 0.429051 0.529178
v 0.349179 0.660644
v 0.572862 0.444212
v 0.669322 0.596587
v 0.419380 0.484660
v 0.237897 0.847338
v 0.610528 0.258331
v 0.790368 0.473327
v 0.497632 0.933796
v 0.260404 0.687820
v 0.307441 0.664121
v 0.494927 0.202986
v 0.827758 0.483965
v 0.700776 0.694160
v 0.731930 0.632461
v 0.474832 0.351748
v 0.036905 0.804574
v 0.157921 0.930151
v 0.375077 0.180543
v 0.197925 0.472545
v 0.898413 0.389946
v 0.263899 0.238091
v 0.710337 0.665408
v 0.491579 0.335403
v 0.433969 0.425797
v 0.543793 0.526192
v 0.729692 0.647751
v 0.031288 0.761391
v 0.145656 0.801977
v 0.165747 0.805551
v 0.209270 0.742082
v 0.018140 0.761100
v 0.276348 0.879708
v 0.701672 0.186325
v 0.027677 0.622890
v 0.191080 0.518596
v 0.492260 0.216856
v 0.687971 0.240525
v 0.477781 0.910060
v 0.035974 0.788899
v 0.042407 0.708710
v 0.788527 0.294761
v 0.654278 0.203098
v 0.951571 0.281714
v 0.047012 0.775045
v 0.344397 0.925075
v 0.135365 0.885434
v 0.170045 0.836321
v 0.953091 0.304525
v 0.239326 0.181545
v 0.217487 0.418927
v 0.184346 0.354917
v 0.604984 0.517598
v 0.480363 0.575101
v 0.682292 0.573961
v 0.651991 0.692217
v 0.580810 0.692080
v 0.622358 0.464605
v 0.199991 0.477217
v 0.804602 0.611352
v 0.041015 0.512128
v 0.120358 0.524331
v 0.559155 0.207878
v 0.201770 0.240536
v 0.244152 0.179955
v 0.268149 0.550858
v 0.551821 0.697365
v 0.283658 0.759433
v 0.294673 0.773046
v 0.293924 0.566042
v 0.744845 0.424172
v 0.630128 0.216912
v 0.083557 0.496485
v 0.042057 0.671829
v 0.175515 0.651028
v 0.024672 0.614306
v 0.249831 0.621433
v 0.232053 0.588403
v 0.495792 0.574369
v 0.355134 0.664657
v 0.450613 0.589063
v 0.605989 0.673338
v 0.529486 0.600882
v 0.238485 0.849112
v 0.783554 0.407752
v 0.212753 0.544249
v 0.494137 0.933913
v 0.265254 0.687816
v 0.310789 0.664207
v 0.807324 0.511168
v 0.815560 0.480637
v 0.305589 0.337141
v 0.275527 0.395738
v 0.481191 0.375243
v 0.145312 0.185732
v 0.161392 0.930974
v 0.398878 0.187072
v 0.480130 0.201483
v 0.096852 0.659944
v 0.283413 0.242544
v 0.717003 0.659877
v 0.520617 0.691056
v 0.424218 0.438405
v 0.489273 0.466343
v 0.738633 0.661329
v 0.956353 0.256097
v 0.146417 0.792785
v 0.203382 0.840436
v 0.263875 0.800444
v 0.018962 0.761141
v 0.912542 0.266603
v 0.704750 0.187425
v 0.049392 0.613238
v 0.521752 0.208068
v 0.462406 0.203962
v 0.244140 0.725395
v 0.104751 0.530676
v 0.032588 0.812442
v 0.968110 0.302097
v 0.720149 0.223772
v 0.656296 0.203042
v 0.953870 0.278693
v 0.049288 0.796598
v 0.939501 0.356409
v 0.143982 0.863130
v 0.170131 0.838284
v 0.032429 0.724511
v 0.240282 0.180574
v 0.243318 0.411694
v 0.208184 0.351124
v 0.517999 0.626392
v 0.527860 0.444381
v 0.736615 0.578071
v 0.688688 0.653277
v 0.577399 0.701194
v 0.467834 0.627190
v 0.453042 0.205879
v 0.806747 0.611755
v 0.031810 0.519935
v 0.483080 0.886718
v 0.560241 0.209846
v 0.211637 0.220056
v 0.250530 0.179715
v 0.733444 0.456461
v 0.696741 0.563640
v 0.289736 0.759484
v 0.310581 0.799805
v 0.712440 0.440173
v 0.744901 0.416555
v 0.621162 0.209908
v 0.096227 0.482329
v 0.051483 0.666579
v 0.377285 0.847225
v 0.026241 0.612783
v 0.738258 0.386704
v 0.792766 0.432342
v 0.580478 0.498325
v 0.361605 0.658686
v 0.411316 0.596894
v 0.661074 0.624015
v 0.430725 0.476296
v 0.687597 0.188242
v 0.604309 0.240499
v 0.551262 0.206544
